编号,longitude,latitude,最近邻距离_m
A7517,107.2083,29.4094,4799.954557869731
A7518,107.2083,29.5297,4305.871480519017
A7519,107.3167,29.595,4970.503809440439
A7520,107.5344,29.5244,5704.5787091650245
A7521,107.4958,29.7053,5023.30725466362
A7522,107.4769,29.6039,4803.371770725528
A7523,107.1936,29.4639,4393.577209976079
A7525,107.4678,29.9017,3846.7728979744447
A7526,107.2722,29.7919,5256.161713203621
A8101,107.4583,29.8681,3846.7728979744447
A8102,107.5167,29.8667,2117.323125399038
A8103,107.3833,29.81,4951.409662576773
A8104,107.445,29.715,3134.7495421219473
A8108,107.6667,29.6167,4026.481070593045
A8129,107.4617,29.9383,4111.976444044673
A8130,107.6069,29.7828,5337.356478938345
A8131,107.06,29.7172,5320.244476695479
A8132,107.4306,29.5792,956.4719148431469
A8133,107.3869,29.7381,2919.939416489246
A8134,107.0081,29.5528,6272.951510403671
A8135,107.2828,29.5614,3999.0214619028493
A8136,107.125,29.5514,7607.717647178852
A8137,107.1917,29.6528,6209.767348945985
A8138,107.6069,29.8308,2994.9185855214814
A8205,107.5036,29.8306,4208.268149562416
A8877,107.1256,29.6333,4678.043915878254
A8878,107.0772,29.6336,3817.855461297749
A8879,107.345,29.6764,2563.8803375244756
A8880,107.3392,29.6539,2563.8803375244756
A8881,107.6392,29.6439,4026.481070593045
A8882,107.3086,29.8425,3938.366748073663
A8883,107.1003,29.6708,3278.2020595833246
A8884,107.2072,29.7283,5522.267201641396
A9017,107.2556,29.6469,6209.767348945985
A9105,107.4186,29.6986,2772.8147860173904
A9111,107.0347,29.6747,3217.1284530215166
A9224,107.4308,29.5878,956.4719148431469
A9225,107.5761,29.8342,2994.9185855214814
57516,106.4611,29.5758,2847.1019851338865
A7272,106.3983,29.7258,2713.65443490279
A7273,106.4142,29.5258,2735.4985369680717
A7274,106.4075,29.5019,2735.4985369680717
A7275,106.4256,29.6025,2171.4365214941313
A7276,106.3669,29.7225,1917.8306942598736
A7277,106.3306,29.7069,2000.3329317259147
A7278,106.2958,29.6922,2864.3545247896473
A7279,106.3889,29.6664,3260.2886978308684
A7280,106.4297,29.5833,2171.4365214941313
A8003,106.4133,29.6408,1546.5323576493727
A8005,106.3833,29.7,2961.0864958232987
A8006,106.3333,29.6167,3656.1263459516986
A8012,106.3,29.6667,2864.3545247896473
A8038,106.4067,29.5703,2307.5920418865244
A8039,106.4289,29.6439,1546.5323576493727
A8040,106.3683,29.6361,3913.349042224293
A8139,106.4147,29.6853,2818.2574528127693
A8140,106.4139,29.7461,2713.65443490279
A8141,106.28,29.6464,2971.546338112462
A9015,106.3486,29.7158,1917.8306942598736
57511,106.4433,29.8419,1655.7615915283473
A7021,106.4631,29.7292,1621.9705597964185
A7074,106.5706,29.9097,2198.1462200866495
A7134,106.4847,29.8356,2420.6334569258115
A7135,106.3658,29.8606,2636.411583019616
A7136,106.4433,29.6803,2818.2574528127693
A7281,106.4922,29.8033,3663.751721950214
A7282,106.5917,29.9022,2198.1462200866495
A7283,106.6014,29.9578,608.8234831863635
A7284,106.6458,29.9411,4158.523419061999
A7285,106.505,29.8958,2878.082651159538
A7286,106.4181,29.8731,2014.5709422563948
A7287,106.4597,29.8375,1655.7615915283473
A7288,106.6228,30.0353,4477.242888793384
A7302,106.605,29.9533,608.8234831863635
A7316,106.53,29.8,3665.7160124723046
A7317,106.39,29.7611,2619.3212090414395
A7319,106.4031,29.86,178.1002924638274
A7320,106.6175,29.8653,3671.781368818376
A7321,106.4225,29.7961,2230.43802535604
A7324,106.6317,29.9828,3335.054269051834
A8146,106.4625,29.7794,3205.49285632649
A8147,106.6219,29.8981,2946.592308956171
A8148,106.5739,29.7678,2515.816098241063
A8149,106.6542,30.0056,3335.054269051834
A8150,106.3367,29.8575,2827.3242993093727
A8151,106.4047,29.8592,178.1002924638274
A8152,106.4483,29.7361,1621.9705597964185
A8854,106.3803,29.7831,2605.724456194024
A8855,106.4308,29.7708,2925.0448243916458
A8856,106.3997,29.7994,2230.43802535604
A8857,106.3331,29.7528,4377.96010415229
A8858,106.4714,29.8658,3343.001055738517
57612,106.6486,29.01,757.342217317389
A7002,106.65,29.0167,757.342217317389
A7036,106.6833,28.5333,6174.493955587318
A7092,106.8167,29.0667,4938.40783018967
A7142,106.7333,28.6667,2946.5266894753113
A7143,106.7592,28.9167,5323.022404499221
A7486,106.65,28.9,2463.6833598305043
A7487,106.6556,28.7678,2971.7599093679487
A7488,106.7333,28.8167,879.2309345157472
A7489,106.8278,28.9864,3621.6581455164064
A7490,106.7392,29.1583,6626.279726581073
A7491,106.5056,28.9961,2119.0376773985345
A7492,106.4394,28.8989,7515.455917786883
A7493,106.585,28.7128,4848.415131390804
A7494,106.6764,28.7392,3771.600696333678
A7495,106.6347,29.1117,2801.7918455104236
A7496,106.6983,28.9425,4912.1269812733535
A7497,106.6742,28.5919,3008.73833921967
A7498,106.8056,28.6303,7417.545384784695
A7499,106.6931,29.0411,4345.140508000403
A7501,106.5833,28.85,4866.841874626456
A7502,106.8222,29.0186,3621.6581455164064
A7503,106.7375,29.0456,3465.8753718498497
A7504,106.6833,29.1,4615.771516754574
A7505,106.8944,29.1175,2364.3617790884164
A8107,106.5539,28.7878,3493.355235975292
A8158,106.4111,29.0903,1169.8995639251496
A8159,106.3122,29.0208,2226.984398618932
A8160,106.4478,28.9706,4363.255380880091
A8161,106.3769,28.5911,6137.228164572769
A8162,106.6194,28.9328,4708.780392459159
A8163,106.7181,28.8628,3889.878297202075
A8165,106.7386,28.8231,879.2309345157472
A8166,106.7042,28.7931,2554.5681004390467
A8167,106.82,28.6958,5087.675907979996
A8640,106.6142,29.1303,2871.070752848047
A8641,106.6383,29.0867,2801.7918455104236
A8642,106.7731,29.0439,3465.8753718498497
A8643,106.7311,29.0928,4712.863945855508
A8644,106.4914,28.9614,4098.253196775439
A8645,106.7083,28.8992,4158.445944543429
A8646,106.6283,28.8886,2463.6833598305043
A8647,106.62,28.8203,4866.841874626456
A8648,106.5372,28.8156,3493.355235975292
A8649,106.6175,28.7458,4447.288869972286
A8650,106.7583,28.7736,5376.134409006756
A8651,106.7183,28.6897,2946.5266894753113
A8652,106.6458,28.5814,3008.73833921967
A8653,106.7108,28.5833,3699.3149463495256
A8654,106.805,28.9519,4431.2871680375465
A8987,106.6806,28.7831,2554.5681004390467
A8988,106.7097,28.8286,2652.6949715210335
A8989,106.4572,28.5728,1841.7893271121752
A8990,106.4492,28.5878,1841.7893271121752
A8992,106.3992,29.0919,681.1650573132299
A8993,106.3719,29.0744,3011.7117338948606
A8994,106.5272,28.9986,2119.0376773985345
A8995,106.2428,29.0181,5551.29203817172
A9130,106.8706,28.6847,5087.675907979996
A9178,106.6353,29.03,2056.7016651457734
57502,105.6931,29.7108,1998.2020271575489
A7025,105.9167,29.6667,953.407694494658
A7079,105.5031,29.6925,1143.5131827160283
A7088,105.7758,29.4839,492.69243220602584
A7150,105.6656,29.8378,3712.791173289514
A7151,105.6628,29.5358,3681.3511100886794
A7152,105.8306,29.6317,2566.3697075900327
A7419,105.7606,29.7494,1823.9133762147178
A7420,106.0033,29.7039,1467.0935818665832
A7421,106.5342,29.6328,2032.3250285288855
A7422,105.7467,29.5661,2861.20581806425
A7425,105.8817,29.6667,2516.5392693956846
A7426,105.9894,29.7392,2810.8431521080006
A7427,105.8617,29.7292,2525.9736893396175
A7428,105.8158,29.5464,3056.929576800334
A7429,105.6533,29.7817,2298.8200935780883
A7430,105.6211,29.6367,2437.397020076747
A7431,105.5797,29.7189,3021.164248501299
A7432,105.6297,29.7789,2298.8200935780883
A7435,105.7375,29.4297,2847.1675505617272
A7436,105.6928,29.6222,2364.560816643126
A7437,105.8978,29.6153,5451.918412533501
A7438,105.9256,29.7658,2701.3343008218917
A7598,105.6169,29.5586,3824.6095250542194
A8242,105.7983,29.4889,2120.7513486905473
A8243,105.7964,29.5247,3056.929576800334
A8244,105.7392,29.4828,956.2763691429759
A8245,105.7775,29.4781,665.5929110436642
A8246,105.7764,29.4883,492.69243220602584
A8247,105.7669,29.7653,1858.3211206026922
A8248,105.7689,29.6808,6402.805089089144
A8249,105.7686,29.6111,4479.838402170301
A8250,105.6714,29.6119,1819.9139479571484
A8251,105.5758,29.69,1266.0271852730223
A8252,105.6456,29.6419,2437.397020076747
A8253,105.9197,29.7169,746.2369325105298
A8254,105.6933,29.5556,3681.3511100886794
A8680,105.7025,29.8283,920.0194987002936
A8681,105.7119,29.8297,920.0194987002936
A8682,105.6375,29.7558,2676.6663858440406
A8683,105.8631,29.5631,1503.217053123393
A8684,105.8581,29.5503,1503.217053123393
A8685,105.5106,29.6592,3773.0196613845096
A8686,105.5461,29.6758,2785.4487384746726
A8687,105.5642,29.6953,1266.0271852730223
A8688,105.5761,29.6286,4441.624029980622
A8689,105.7481,29.7617,1823.9133762147178
A8690,105.8039,29.7433,3026.737400215193
A8691,105.7978,29.77,3026.737400215193
A8692,105.8428,29.6522,312.69250191332304
A8693,105.8431,29.655,312.69250191332304
A8694,105.9836,29.675,3715.987468320507
A8695,105.9889,29.7081,1467.0935818665832
A8696,106.0236,29.7308,1966.4030430183761
A8697,105.9183,29.7103,746.2369325105298
A8698,105.9075,29.6636,953.407694494658
A8699,105.6619,29.6619,2725.207070243277
A8700,105.6731,29.5956,1819.9139479571484
A8701,105.7308,29.5878,2861.20581806425
A8702,105.7664,29.4344,2847.1675505617272
A8703,105.7392,29.4742,956.2763691429759
A8704,105.6683,29.5028,2409.1621311339013
A8705,105.6378,29.5878,3521.678280829749
A8706,105.8436,29.7128,2525.9736893396175
A8707,105.8978,29.7686,2701.3343008218917
A8708,106.0169,29.7475,1966.4030430183761
A8709,105.9619,29.7681,3513.1054156301793
A9030,105.705,29.6961,1998.2020271575489
A9917,105.495,29.7,1143.5131827160283
57513,106.6275,29.7411,3554.756296283583
A6100,106.4856,29.59,939.9419335630911
A7022,106.7086,29.8972,1888.40020725351
A7023,106.8333,29.85,1832.982251057518
A7075,106.9,29.7,5166.593044636644
A7076,106.9444,29.7456,2027.8358578504776
A7133,106.8419,29.8353,1832.982251057518
A7289,106.9242,29.7506,2027.8358578504776
A7290,106.8897,29.9658,2922.83907766733
A7291,106.7217,29.8658,3712.9358031542843
A7292,106.6644,29.6889,2569.765301902144
A7293,106.7028,29.7592,3125.1646475050748
A7294,106.7319,29.9383,4667.489947311208
A7295,106.6819,29.9619,4176.849645867216
A7296,106.7925,29.9917,4975.449535155332
A7297,106.8672,29.6633,3976.262817477973
A7298,106.8469,29.8919,2261.0444916957117
A7299,106.9231,29.8972,1778.3957885149866
A7300,106.6983,30.0683,2494.929499079879
A7301,106.7861,29.9192,2379.4305363048484
A7303,106.7217,29.7208,4643.460171074007
A7304,106.7483,30.0181,3505.177200473701
A7305,106.8811,29.8083,4828.487061616712
A7306,106.8331,29.7108,6224.771354375211
A7307,106.5561,29.6686,1648.794701067641
A7308,106.5356,29.7322,1792.432980848722
A7309,106.6636,29.6658,2569.765301902144
A7310,106.8236,29.7664,6250.107607146763
A7311,106.9358,29.8856,1778.3957885149866
A7312,106.8861,29.9397,2922.83907766733
A7314,106.7411,29.9872,3505.177200473701
A7315,106.6764,30.0928,2662.9814840900203
A8013,106.6833,30.05,2494.929499079879
A8168,106.6233,29.7797,4200.58871158008
A8169,106.8681,29.9006,2261.0444916957117
A8170,106.5931,29.7525,2515.816098241063
A8171,106.8925,29.8767,3549.0711707579485
A8172,106.5464,29.6808,1648.794701067641
A8173,106.7803,29.94,2379.4305363048484
A8174,106.6944,29.9089,1888.40020725351
A8175,106.7056,29.7872,3125.1646475050748
A8597,106.9253,29.8308,4943.860459448717
A8598,106.77,29.8189,6992.761895206299
A8599,106.8567,29.9836,3715.4077076571107
A8800,106.6642,29.8503,4802.4729971689485
A8817,106.8464,29.9514,3715.4077076571107
A9042,106.55,29.5833,2248.324490258467
57518,106.4922,29.3411,3270.9277807215694
A7001,106.5297,29.3797,3845.686502210976
A7034,106.6619,29.4428,4162.422553642669
A7035,106.8172,29.2783,4098.000099758267
A7091,106.8636,29.4539,4702.852486620611
A7131,106.7353,29.475,693.3799704487791
A7132,106.5769,29.2217,2202.3406932995335
A7322,106.8547,29.2544,3790.4689887506984
A7323,106.7508,29.2836,2139.25729875362
A7343,106.8756,29.2256,3790.4689887506984
A7344,106.9311,29.4894,1704.6100705092547
A7353,106.57,29.25,3217.2501059109463
A7354,106.5928,29.4142,5506.081182706212
A7396,106.6992,29.4242,4162.422553642669
A7400,106.515,29.2981,3454.6389084791945
A7413,106.64,29.27,2559.174204004014
A7470,106.6708,29.3458,2677.908792079884
A7471,106.9294,29.5386,3147.888615228508
A7472,106.7731,29.4578,3233.982626045946
A7473,106.8781,29.1872,4276.774089244416
A7474,106.9114,29.6133,2493.0104174308917
A7475,106.63,29.3572,4152.57433183899
A7476,106.8542,29.2961,4098.000099758267
A7477,106.5369,29.4611,2540.1492321325877
A7479,106.5628,29.2883,4315.650277553365
A7480,106.6847,29.2153,3466.1792827334884
A7481,106.9683,29.6825,3482.753550492065
A7482,106.8158,29.4464,3923.2012763331245
A7483,106.7831,29.5075,2586.15500045296
A7485,106.7644,29.3547,8015.156894313268
A8176,106.9158,29.5047,1374.1999703625909
A8177,106.9536,29.7111,3482.753550492065
A8178,106.9375,29.6144,741.5508254156277
A8179,106.8783,29.5758,4607.9994030309845
A8180,106.8092,29.5125,2586.15500045296
A8181,106.8431,29.3867,7145.596483959162
A8182,106.7758,29.2086,6626.279726581073
A8183,106.6067,29.2242,867.4568343449965
A8184,106.6436,29.2928,2559.174204004014
A8185,106.6742,29.3697,2677.908792079884
A8186,106.7803,29.4294,3233.982626045946
A8187,106.93,29.5047,1374.1999703625909
A8188,106.7417,29.4722,693.3799704487791
A8859,106.5986,29.2275,867.4568343449965
A8860,106.5256,29.3453,3270.9277807215694
A8861,106.7292,29.2875,2139.25729875362
A8862,106.7311,29.4689,790.8143474104626
A8863,106.5625,29.4561,2540.1492321325877
A9174,106.9364,29.6078,741.5508254156277
A9175,106.6722,29.1861,3466.1792827334884
A9222,106.8067,29.5836,1338.571595821927
57520,107.0675,29.8394,2549.5851089499383
A7038,107.1,30.0333,4592.682500015482
A7039,107.2333,29.9,1962.1577103418695
A7094,107.2058,30.1553,3073.671175406487
A7095,107.0425,29.7678,2475.3287843405365
A7171,106.9864,29.9631,1868.8989765073554
A7172,107.0242,29.8992,1113.4522775591545
A7173,107.0983,29.9561,3849.2305665421154
A7174,107.2022,29.9519,4211.006339290409
A7325,107.2311,30.1722,3073.671175406487
A7326,107.1356,29.8306,4051.244385272529
A7327,107.17,30.0233,3469.8438427376304
A7328,107.41,29.9958,5341.323259468605
A7329,107.2142,29.8939,1962.1577103418695
A7330,107.2389,30.0425,4122.89422922896
A7331,107.0844,29.8936,2744.3257881657223
A7332,107.0697,30.0014,4111.240277651908
A7333,106.9819,29.9389,2151.2790643496
A7334,106.9861,29.8222,3616.988622472291
A7335,107.3422,29.9178,4269.889342759235
A7336,107.1736,30.0831,1632.802735769031
A7337,106.9683,30.0364,1767.2247974626407
A7414,107.1942,30.0686,2243.8215510543805
A7423,107.1794,30.0969,1632.802735769031
A7424,107.1442,30.0636,2646.209109829056
A7433,106.91,30.0067,4950.314095702605
A7434,107.2758,29.8636,3938.366748073663
A7440,106.9978,29.9767,1868.8989765073554
A7446,107.2197,30.1189,3074.844467213552
A7453,107.0703,29.8622,244.00362614884457
A7478,107.0019,29.9475,2151.2790643496
A7484,106.9814,29.8589,2132.9299984602744
A8189,107.2508,30.1125,3074.844467213552
A8190,107.245,30.0058,4122.89422922896
A8191,107.25,29.9469,1274.3455724267874
A8192,107.2078,29.8694,2793.2802616235376
A8193,107.2811,29.9003,4112.7207419833085
A8194,107.1706,29.8794,1772.4860400621267
A8195,107.155,29.9497,3927.564659207748
A8196,107.11,29.9892,3849.2305665421154
A8197,107.0578,29.9394,4321.424827273871
A8198,107.0317,29.8822,2023.870848264277
A8199,107.1961,29.9894,4211.006339290409
A8200,107.0786,29.78,3739.0127201260902
A8201,107.0953,29.9164,2744.3257881657223
A8545,107.1561,29.8892,1772.4860400621267
A8546,107.1836,29.8422,3820.228817655443
A8547,107.0406,29.79,2475.3287843405365
A8548,107.0236,29.9092,1113.4522775591545
A8549,107.1208,30.0761,2646.209109829056
A9038,107.0719,29.8639,244.00362614884457
A9047,107.1911,30.0486,2243.8215510543805
A9048,107.2447,29.9364,1274.3455724267874
A9050,107.0019,29.8517,2132.9299984602744
A9226,107.0981,29.8142,4051.244385272529
A9227,107.1375,29.9178,3650.7414836829084
57517,106.2556,29.2772,2738.420788093357
A7027,106.1322,29.0636,2755.471684127696
A7028,106.3636,28.8861,5937.039201850806
A7084,106.135,29.2,1280.8454229473584
A7155,106.25,29.4244,2563.8085493919007
A7156,106.4606,29.1139,4774.497018154516
A7240,106.1542,29.1456,4037.5974549307066
A7448,106.3286,28.8361,5501.48278739527
A7449,106.26,29.1014,5456.393669688109
A7450,105.9475,28.985,7778.106837176408
A7451,106.2058,29.2569,2412.886956219661
A7452,106.4664,29.3169,1956.6336209318738
A7454,106.2056,29.1136,5456.393669688109
A7455,106.1747,28.9928,6275.163308082613
A7456,106.065,28.9731,10254.822649021724
A7457,105.89,28.9364,7778.106837176408
A7458,105.9492,29.0836,4020.1596394743924
A7459,106.0708,29.2414,5781.750055303749
A7460,106.5428,29.1194,3240.2360555929126
A7461,106.0011,29.1181,1549.2993397671237
A7462,106.4622,28.7339,5584.648810688796
A7463,106.3928,29.0944,681.1650573132299
A7464,106.3494,28.9922,4816.689744167394
A7465,106.2158,29.2078,1378.6167740748544
A7466,106.3158,29.2425,3173.4033613616384
A7467,106.3719,29.2628,4123.204551877342
A7468,106.5097,29.1158,3240.2360555929126
A7469,106.5647,29.0636,5846.130235827259
A7500,106.3856,28.7889,4092.892610426969
A7524,105.9281,29.1147,4020.1596394743924
A7672,105.9931,29.0458,5989.3006846179105
A7674,106.52,29.1892,4493.634075142356
A7679,106.0633,29.2944,2562.5511341172146
A7700,106.4806,28.6486,6296.810264480195
A7705,106.5822,29.0133,5486.851674394768
A7728,106.3986,28.7539,1427.3293279581692
A7732,106.1453,29.1928,1280.8454229473584
A8202,106.2664,29.4425,2563.8085493919007
A8203,106.0889,29.1633,1825.9135860006556
A8204,106.3731,29.04,1235.0906794119485
A8220,106.2544,28.8864,8484.53074216462
A8221,106.4094,28.6572,4487.517188719825
A8222,106.4264,28.6947,4487.517188719825
A8223,106.2831,29.2419,3173.4033613616384
A8224,106.3886,29.2969,2868.699852373803
A8225,106.3672,28.9394,5775.94905714667
A8226,106.1856,29.2872,3897.4991123693835
A8227,106.4069,28.8317,5191.940738165185
A8228,106.2753,29.1661,3814.7560873144716
A8229,106.2786,28.8131,5501.48278739527
A8864,106.2828,29.2706,2738.420788093357
A8865,106.2214,29.24,2412.886956219661
A8866,106.1269,29.1094,4820.204899056384
A8867,106.2964,29.0353,2226.984398618932
A8868,106.4692,29.2767,3200.718742275602
A8869,106.23,29.2075,1378.6167740748544
A8870,106.4758,29.1772,4493.634075142356
A8871,106.3108,28.9556,5537.34501178846
A9077,106.2658,29.3233,5220.637361238919
A9117,106.3997,28.7411,1427.3293279581692
A9229,106.1858,29.1692,4037.5974549307066
A9230,106.1383,29.0394,2755.471684127696
A9231,106.2722,29.2003,3814.7560873144716
A9232,106.48,29.3039,1956.6336209318738
A9233,106.3858,29.0397,1235.0906794119485
A9234,106.0894,29.2908,2285.5930321596466
A9235,106.1058,29.1561,1825.9135860006556
A9236,106.1378,29.2264,2948.097075779019
A9237,106.3653,29.1583,7590.871639643592
A9238,106.025,29.1031,2218.5218822451293
A9239,106.0022,29.1042,1549.2993397671237
57512,106.2633,29.9656,1930.4879954475864
A7031,106.0167,30.2667,948.4209159334756
A7089,106.2247,30.0917,5875.004246811284
A7140,106.5628,30.1794,4143.914772898725
A7141,106.455,30.1919,3088.9942732708378
A7369,106.5969,30.0869,4733.564038616737
A7371,106.3864,30.0006,3180.1955580391045
A7372,106.535,30.1189,4050.898513721019
A7373,106.5769,30.26,305.1200020955803
A7374,106.4819,30.1767,3088.9942732708378
A7375,106.1728,30.1769,5753.998094040078
A7376,106.0647,30.0908,2944.95639293812
A7377,106.1544,29.9961,5078.708743390565
A7378,106.4819,29.9122,2878.082651159538
A7379,106.4961,30.0675,6409.551169890239
A7380,106.2539,30.0453,2589.813325275128
A7381,106.3158,30.1847,3482.951891339138
A7382,106.4689,30.2869,4017.770282242823
A7383,106.3272,30.085,6240.037172449545
A7384,106.1092,30.1642,2815.3696833089266
A7385,105.9931,30.3642,2143.853862775913
A7386,106.4411,30.035,3196.9007856935523
A7387,106.0558,30.3408,3177.094344451647
A7388,106.1514,30.0417,5078.708743390565
A7389,106.5206,29.9747,5923.62004897751
A7390,106.3514,29.9447,4836.797029832737
A7391,106.1253,30.235,6649.601849781082
A8106,106.65,30.1,2662.9814840900203
A8437,106.1267,30.1439,2815.3696833089266
A8438,106.0256,30.2225,4889.683590886604
A8439,106.3431,30.2053,3482.951891339138
A8440,106.3903,29.9722,3180.1955580391045
A8441,106.4856,30.1439,3450.6401553345695
A8564,106.2833,29.9667,1930.4879954475864
A8655,106.0247,30.3506,3177.094344451647
A8656,106.0028,30.3186,4132.614073946828
A8657,106.0564,30.2975,2558.7989719328034
A8658,106.1622,30.2856,6649.601849781082
A8659,106.0678,30.2767,2558.7989719328034
A8660,106.0631,30.1919,4956.144056452009
A8661,106.0692,30.1192,3187.4667752667165
A8662,106.0092,30.1428,3839.823228948497
A8663,106.0247,30.0614,5049.9125732805405
A8664,106.0928,30.0803,2944.95639293812
A8665,106.1831,29.9411,3032.2893132358304
A8666,106.2669,29.9078,2570.5593104262407
A8667,106.3939,30.2106,4917.081482528151
A8668,106.4817,30.2525,4017.770282242823
A8669,106.3717,30.1442,7011.523231506262
A8670,106.6097,30.1794,4166.784156503782
