row_off,col_off,width,height,label,filename,longitude,latitude,pred_prob,decayed_prob,piecewise_decay,P_final,gaussian_decay,P_final_gauss_sub
2240,11584,64,64,0,patch_r2240_c11584_lbl0.tif,109.02041931598748,31.582218384901505,0.9699827,0.29137444961604214,0.0,0.9699827,1.9927641664435443e-05,0.9699627723583355
2624,9280,64,64,0,patch_r2624_c9280_lbl0.tif,108.27783349015829,31.502467556278,0.9161643,0.04685357279348061,0.0,0.9161643,2.396559253265315e-12,0.9161642999976035
3392,9152,64,64,0,patch_r3392_c9152_lbl0.tif,108.22884259622984,31.298856572654174,0.90435386,0.2405998807510947,0.0,0.90435386,6.682036200241803e-06,0.9043471779637997
3392,9600,64,64,0,patch_r3392_c9600_lbl0.tif,108.37194680858865,31.29488441967456,0.9128708,0.24291473421631773,0.0,0.9128708,6.694167303397726e-06,0.9128641058326966
3456,9280,64,64,0,patch_r3456_c9280_lbl0.tif,108.2690575017613,31.280675404413746,0.9223964,0.2758996369791244,0.0,0.9223964,1.9176587551266806e-05,0.9223772234124488
3456,9600,64,64,0,patch_r3456_c9600_lbl0.tif,108.37125238100596,31.27782108780961,0.96866053,0.2576828985240952,0.0,0.96866053,6.676082323471853e-06,0.9686538539176764
3520,10816,64,64,0,patch_r3520_c10816_lbl0.tif,108.75875196863356,31.249111957836707,0.97901356,0.26045824098507314,0.0,0.97901356,6.6809818581153635e-06,0.9790068790181419
3584,10816,64,64,0,patch_r3584_c10816_lbl0.tif,108.7579783446702,31.232049707022465,0.96139985,0.24013389992646067,0.0,0.96139985,3.786645381354165e-06,0.9613960633546186
3712,15232,64,64,0,patch_r3712_c15232_lbl0.tif,110.16426773398284,31.145004152504523,0.9065497,0.19511331785877167,0.0,0.9065497,9.917466168343428e-07,0.9065487082533832
3840,8960,64,64,0,patch_r3840_c8960_lbl0.tif,108.16294702293776,31.181045582379884,0.9167693,0.2437756285413233,0.0,0.9167693,6.650707533676019e-06,0.9167626492924663
3968,10176,64,64,0,patch_r3968_c10176_lbl0.tif,108.54933782958042,31.135945153660455,0.9846955,0.2618405519894417,0.0,0.9846955,6.651359619299477e-06,0.9846888486403806
4160,10368,64,64,0,patch_r4160_c10368_lbl0.tif,108.60831729229992,31.08289710124477,0.9585001,0.28665020335443503,0.0,0.9585001,1.9147427010755163e-05,0.9584809525729893
4224,10432,64,64,0,patch_r4224_c10432_lbl0.tif,108.62796038198668,31.065206831966417,0.9518477,0.20504205256133418,0.0,0.9518477,9.995905801289994e-07,0.9518467004094199
4288,9024,64,64,0,patch_r4288_c9024_lbl0.tif,108.17878547822627,31.0610155916962,0.99479043,0.2486460661035995,0.0,0.99479043,3.8103038431022723e-06,0.9947866196961569
4416,12608,64,64,0,patch_r4416_c12608_lbl0.tif,109.3181726373588,30.990771109161848,0.93656695,0.2813031290423014,0.0,0.93656695,1.9906286342019417e-05,0.936547043713658
4480,8704,64,64,0,patch_r4480_c8704_lbl0.tif,108.07495588925616,31.012489065230007,0.9588731,0.28684022271061976,0.0,0.9588731,1.9194631497308435e-05,0.9588539053685027
4480,12736,64,64,0,patch_r4480_c12736_lbl0.tif,109.35799808716855,30.972213027986843,0.9388921,0.2134727807231371,0.0,0.9388921,1.6250705280339215e-06,0.938890474929472
4480,12800,64,64,0,patch_r4480_c12800_lbl0.tif,109.3783532313474,30.971461677471545,0.9463701,0.2514512321856845,0.0,0.9463701,6.604361424385534e-06,0.9463634956385756
4480,12864,64,64,0,patch_r4480_c12864_lbl0.tif,109.39870800719936,30.970706827073144,0.9608605,0.25523997442069685,0.0,0.9608605,6.590088339719415e-06,0.9608539099116603
4608,8320,64,64,0,patch_r4608_c8320_lbl0.tif,107.9514891411585,30.98145174084097,0.9224855,0.23064900829464735,0.0,0.9224855,3.821536213557718e-06,0.9224816784637864
4672,8320,64,64,0,patch_r4672_c8320_lbl0.tif,107.95088356580588,30.96437697769417,0.9197783,0.19824565085154416,0.0,0.9197783,1.004679011296879e-06,0.9197772953209887
4736,15104,64,64,0,patch_r4736_c15104_lbl0.tif,110.10669117716118,30.873836226496067,0.9402639,0.24970552701757157,0.0,0.9402639,6.575089361974416e-06,0.9402573249106381
4800,8320,64,64,0,patch_r4800_c8320_lbl0.tif,107.94967316007346,30.930225912863783,0.9168401,0.06068594851242061,0.0,0.9168401,2.442065579942341e-11,0.9168400999755794
5184,7232,64,64,0,patch_r5184_c7232_lbl0.tif,107.60039156749744,30.835873052920068,0.9912571,0.296614522807274,0.0,0.9912571,1.9245286097365463e-05,0.9912378547139027
5248,7808,64,64,0,patch_r5248_c7808_lbl0.tif,107.78282440908856,30.81462391055293,0.991488,0.22590173886565273,0.0,0.991488,1.655843741027969e-06,0.991486344156259
5312,7744,64,64,0,patch_r5312_c7744_lbl0.tif,107.76193014527834,30.798020333929447,0.97451484,0.29243307183624484,0.0,0.97451484,1.9742907068581154e-05,0.9744950970929314
5312,8512,64,64,0,patch_r5312_c8512_lbl0.tif,108.00580749971154,30.792064888147785,0.95503867,0.23898399086241678,0.0,0.95503867,3.8498169519613216e-06,0.955034820183048
5376,8448,64,64,0,patch_r5376_c8448_lbl0.tif,107.9848745699629,30.775500116763197,0.93656933,0.28107686853161407,0.0,0.93656933,1.9762204327011817e-05,0.936549567795673
5696,9344,64,64,0,patch_r5696_c9344_lbl0.tif,108.26595512988656,30.68256315732556,0.96099985,0.28843836997927674,0.0,0.96099985,1.9780451707340772e-05,0.9609800695482926
5696,9408,64,64,0,patch_r5696_c9408_lbl0.tif,108.28624832457449,30.68199927940797,0.974076,0.22189342643793666,0.0,0.974076,1.6530832651230056e-06,0.9740743469167349
5696,9472,64,64,0,patch_r5696_c9472_lbl0.tif,108.30654124456512,30.681431909375515,0.93464917,0.27956845317721934,0.0,0.93464917,1.9178975611385033e-05,0.9346299910243886
5760,9408,64,64,0,patch_r5760_c9408_lbl0.tif,108.2855765045059,30.664917214759708,0.9831213,0.29407851336801283,0.0,0.9831213,1.9185593875413927e-05,0.9831021144061246
5760,9472,64,64,0,patch_r5760_c9472_lbl0.tif,108.30586528205544,30.664349943057186,0.93537486,0.21301325859667,0.0,0.93537486,1.6486138380290642e-06,0.935373211386162
5824,8576,64,64,0,patch_r5824_c8576_lbl0.tif,108.02118032836908,30.654890175841825,0.90857416,0.2718101007812122,0.0,0.90857416,1.9205093062399912e-05,0.9085549549069376
6016,7296,64,64,0,patch_r6016_c7296_lbl0.tif,107.61376500925124,30.613332878974127,0.9790515,0.25971505853061566,0.0,0.9790515,6.509096659904842e-06,0.9790449909033401
6080,7296,64,64,0,patch_r6080_c7296_lbl0.tif,107.61323107023917,30.596245232775797,0.97569865,0.2443631311669808,0.0,0.97569865,3.879618413638656e-06,0.9756947703815864
6080,7808,64,64,0,patch_r6080_c7808_lbl0.tif,107.77543468353012,30.592534460400653,0.9687111,0.29067017633638037,0.0,0.9687111,1.972988870531007e-05,0.9686913701112947
6144,7296,64,64,0,patch_r6144_c7296_lbl0.tif,107.61269734927792,30.579157047854785,0.962851,0.2553113132841632,0.0,0.962851,6.484779766791746e-06,0.9628445152202332
6208,6784,64,64,0,patch_r6208_c6784_lbl0.tif,107.45001247057192,30.565554512922827,0.9003213,0.2701016242217327,0.0,0.9003213,1.969862583309817e-05,0.9003016013741669
6208,10496,64,64,0,patch_r6208_c10496_lbl0.tif,108.62525996411544,30.535221534456376,0.9665186,0.20865199345951133,0.0,0.9665186,1.0191856257459315e-06,0.9665175808143742
6272,10816,64,64,0,patch_r6272_c10816_lbl0.tif,108.72577110343887,30.514973279274333,0.9847877,0.261100911110178,0.0,0.9847877,6.478708436580391e-06,0.9847812212915634
6400,6656,64,64,0,patch_r6400_c6656_lbl0.tif,107.40799733597832,30.515119503913382,0.98374593,0.09284152758337536,0.0,0.98374593,5.946496307320129e-10,0.9837459294053503
6464,6784,64,64,0,patch_r6464_c6784_lbl0.tif,107.44801285877168,30.49719178554294,0.9882924,0.29574899904390883,0.0,0.9882924,1.925794335465262e-05,0.9882731420566453
6464,7040,64,64,0,patch_r6464_c7040_lbl0.tif,107.52902411885418,30.4954777871736,0.97122777,0.2913760437156008,0.0,0.97122777,1.969988302272618e-05,0.9712080701169773
6528,6784,64,64,0,patch_r6528_c6784_lbl0.tif,107.44751346561772,30.48009974262591,0.99041593,0.2971207963383216,0.0,0.99041593,1.9692815003036627e-05,0.990396237184997
6528,9792,64,64,0,patch_r6528_c9792_lbl0.tif,108.39896708069026,30.45644150938841,0.9867251,0.2951470379220027,0.0,0.9867251,1.9180054391620886e-05,0.9867059199456084
6656,8192,64,64,0,patch_r6656_c8192_lbl0.tif,107.89176172234968,30.435801887179192,0.92997605,0.2330826417532083,0.0,0.92997605,3.905283450138118e-06,0.9299721447165499
6720,7296,64,64,0,patch_r6720_c7296_lbl0.tif,107.60790365092106,30.425338936302843,0.9004134,0.2386345809150141,0.0,0.9004134,6.4553447057971915e-06,0.9004069446552943
6848,7424,64,64,0,patch_r6848_c7424_lbl0.tif,107.64729394580212,30.39024622219249,0.9395151,0.2818691569182405,0.0,0.9395151,1.970439085944778e-05,0.9394953956091406
6848,8832,64,64,0,patch_r6848_c8832_lbl0.tif,108.09221788146183,30.37937310631798,0.95606804,0.28689695871057475,0.0,0.95606804,1.9742544833581152e-05,0.9560482974551664
6912,8768,64,64,0,patch_r6912_c8768_lbl0.tif,108.07137085294283,30.36281108384403,0.9525206,0.2166489593572391,0.0,0.9525206,1.630312303583289e-06,0.9525189696876964
6976,6784,64,64,0,patch_r6976_c6784_lbl0.tif,107.44402340930462,30.36044005937122,0.9938194,0.2981261312562186,0.0,0.9938194,1.9683488895385043e-05,0.9937997165111047
6976,6848,64,64,0,patch_r6976_c6848_lbl0.tif,107.46424355536963,30.36001737138711,0.98696196,0.2240213746079789,0.0,0.98696196,1.6004148909251594e-06,0.9869603595851091
6976,8704,64,64,0,patch_r6976_c8704_lbl0.tif,108.05053205052586,30.3462448424092,0.96821755,0.29053146713947176,0.0,0.96821755,1.97356251489754e-05,0.968197814374851
6976,8768,64,64,0,patch_r6976_c8768_lbl0.tif,108.07074533450466,30.34571770850471,0.9836602,0.24664460452987141,0.0,0.9836602,3.920555752739552e-06,0.9836562794442473
7040,6848,64,64,0,patch_r7040_c6848_lbl0.tif,107.46374167327504,30.3429209908862,0.98145837,0.2937105948299184,0.0,0.98145837,1.9261895272698018e-05,0.9814391081047273
7104,7808,64,64,0,patch_r7104_c7808_lbl0.tif,107.76639332411597,30.319068205134684,0.98013395,0.2932645702248057,0.0,0.98013395,1.923255481538923e-05,0.9801147174451846
7168,7808,64,64,0,patch_r7168_c7808_lbl0.tif,107.76583019414296,30.301971864656597,0.9835653,0.21301795575772037,0.0,0.9835653,1.0492012448247828e-06,0.9835642507987552
7168,7872,64,64,0,patch_r7168_c7872_lbl0.tif,107.7860345347146,30.301493712049133,0.9930661,0.22532099207860262,0.0,0.9930661,1.59493415504483e-06,0.9930645050658449
7232,2560,64,64,0,patch_r7232_c2560_lbl0.tif,106.10822235717382,30.312233364578,0.9852046,0.29502706056298034,0.0,0.9852046,1.937706936797469e-05,0.985185222930632
7232,7744,64,64,0,patch_r7232_c7744_lbl0.tif,107.74506683141723,30.28534955565479,0.9262414,0.27788718849256216,0.0,0.9262414,1.9704613076489308e-05,0.9262216953869234
7232,7808,64,64,0,patch_r7232_c7808_lbl0.tif,107.7652672933267,30.284874963872117,0.977249,0.13605784746955396,0.0,0.977249,1.967458610108223e-08,0.977248980325414
