编号,longitude,latitude,最近邻距离_m
57431,108.3481,30.8311,1729.038583
57432,108.4139,30.8033,1170.511221
A6348,108.2461,30.5217,1813.201351
A6398,108.6056,30.7281,1112.113565
A7015,108.0594,30.7956,4507.833296
A7054,108.4019,30.6814,2649.517403
A7055,108.6119,30.8147,5868.485936
A7107,108.2361,30.6356,2814.115651
A7108,108.6339,30.6103,5872.833185
